Instance,LastWeek,Authority__column,Cohort__column,Degree__column,Hub__column,In-Degree__column,NumPosts__column,Out-Degree__column,Post Density__column,Post Duration__column,Subthreadstarter__column,Threadstarter__column,Week__column
1031,True,0.056497175,Coh3,0.075,0.116009275,0.05,0.12,0.066666667,0.946074,0.003337895,0.0,1.0,1.0
1032,False,0.084745775,Coh3,0.05,0.0,0.1,0.12,0.0,0.246083,0.012832632,0.0,0.0,1.0
1033,False,0.0777605,Coh3,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,2.0
1034,True,0.09784735,Coh3,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,3.0
1035,True,0.0,Coh2,0.05,0.0529661,0.0,0.04,0.066666667,0.001,0.0,0.0,1.0,1.0
1036,True,0.0,Coh2,0.15,0.0529661,0.0,0.04,0.2,0.001,0.0,0.0,1.0,1.0
1037,True,0.0,Coh2,0.05,0.0529661,0.0,0.04,0.066666667,0.001,0.0,0.0,1.0,1.0
1038,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
1039,True,0.0486697,Coh2,0.05,0.0,0.1,0.28,0.0,0.0617045,0.119414737,0.0,0.0,1.0
1040,False,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
1041,False,0.0,Coh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1042,False,0.0,Coh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1043,False,0.09784735,Coh2,0.05,0.18248175,0.05,0.08,0.033333333,1.0,7.96842E-4,0.0,0.0,4.0
1044,True,0.314861475,Coh2,0.1,0.0,0.2,0.2,0.0,0.00534582,0.984537895,1.0,0.0,5.0
1045,False,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,1.0,0.0,1.0
1046,True,0.0,Coh2,0.125,0.05800465,0.0,0.04,0.166666667,0.001,0.0,0.0,0.0,2.0
1047,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
